Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color
Certified,VVS2,9.99,3.82,6.33,60.3,LabGrown,1.41,IGI,EXCELLENT,462.93,EXCELLENT,DIAP,PEAR,1.58,EXCELLENT,E
Certified,VVS2,9.82,3.84,6.24,61.5,LabGrown,1.41,IGI,EXCELLENT,602.54,EXCELLENT,DIAP,PEAR,1.57,EXCELLENT,E
Certified,VVS2,9.26,3.93,6.28,62.6,LabGrown,1.41,IGI,EXCELLENT,287.36,EXCELLENT,DIAP,OVAL,1.47,EXCELLENT,F
Certified,VS1,9.05,3.84,6.46,59.4,LabGrown,1.41,IGI,EXCELLENT,268.82,EXCELLENT,DIAP,OVAL,1.4,EXCELLENT,F
Certified,VS1,9.04,3.97,6.35,62.5,LabGrown,1.41,IGI,EXCELLENT,268.82,EXCELLENT,DIAP,OVAL,1.42,EXCELLENT,F
Certified,VS1,9.2,3.92,6.12,64.1,LabGrown,1.41,IGI,VERY GOOD,274.79,EXCELLENT,DIAP,OVAL,1.5,EXCELLENT,E
Certified,VS1,9.32,3.77,6.43,58.6,LabGrown,1.41,IGI,EXCELLENT,268.82,EXCELLENT,DIAP,OVAL,1.45,EXCELLENT,F
Certified,VS1,8.93,4.03,6.38,63.2,LabGrown,1.41,IGI,EXCELLENT,274.79,EXCELLENT,DIAP,OVAL,1.4,EXCELLENT,E
Certified,VS1,8.96,3.94,6.36,61.9,LabGrown,1.41,IGI,EXCELLENT,268.82,EXCELLENT,DIAP,OVAL,1.41,EXCELLENT,F
Certified,VS1,7.43,3.62,5.37,67.4,LabGrown,1.41,IGI,EXCELLENT,268.82,EXCELLENT,DIAP,EMERALD,1.38,EXCELLENT,F
Certified,VVS2,9.83,3.99,6.37,62.6,LabGrown,1.41,IGI,EXCELLENT,301.82,EXCELLENT,DIAP,PEAR,1.54,EXCELLENT,E
Certified,VS1,9.88,3.94,6.27,62.8,LabGrown,1.41,IGI,EXCELLENT,274.79,EXCELLENT,DIAP,PEAR,1.58,EXCELLENT,E
Certified,VVS2,10.39,3.68,6.14,59.9,LabGrown,1.41,IGI,EXCELLENT,301.82,EXCELLENT,DIAP,PEAR,1.69,EXCELLENT,E
Certified,VS1,9.92,3.96,6.24,63.5,LabGrown,1.41,IGI,EXCELLENT,278.09,EXCELLENT,DIAP,PEAR,1.59,EXCELLENT,D
Certified,VS1,7.55,3.56,5.31,67.0,LabGrown,1.41,IGI,EXCELLENT,331.39,EXCELLENT,DIAP,EMERALD,1.42,EXCELLENT,E
Certified,VS1,7.09,4.45,7.16,62.5,LabGrown,1.41,IGI,EXCELLENT,327.34,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,E
Certified,VS1,6.18,4.41,5.96,74.0,LabGrown,1.41,IGI,EXCELLENT,307.06,EXCELLENT,DIAP,PRINCESS,1.04,EXCELLENT,F
Certified,VS2,7.78,3.51,5.17,67.8,LabGrown,1.41,GIA,EXCELLENT,738.48,EXCELLENT,DIAP,EMERALD,1.5,EXCELLENT,D
Certified,VS1,7.46,3.63,5.39,67.3,LabGrown,1.41,IGI,EXCELLENT,348.77,EXCELLENT,DIAP,EMERALD,1.38,EXCELLENT,D
Certified,VVS1,10.14,3.76,6.38,58.9,LabGrown,1.41,IGI,EXCELLENT,480.49,EXCELLENT,DIAP,PEAR,1.59,EXCELLENT,E
Certified,VVS2,7.19,4.44,7.25,61.5,LabGrown,1.41,IGI,EXCELLENT,381.01,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VVS1,7.14,4.44,7.17,62.1,LabGrown,1.41,IGI,EXCELLENT,389.48,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.91,3.8,5.59,68.0,LabGrown,1.41,IGI,EXCELLENT,318.3,EXCELLENT,DIAP,RADIANT,1.42,EXCELLENT,D
Certified,VS1,6.12,4.37,6.07,72.0,LabGrown,1.41,IGI,EXCELLENT,295.47,EXCELLENT,DIAP,PRINCESS,1.01,EXCELLENT,E
Certified,VS1,6.59,4.43,6.56,67.5,LabGrown,1.41,IGI,EXCELLENT,310.54,EXCELLENT,DIAP,CUSHION,1.0,EXCELLENT,D
Certified,VVS2,7.51,4.19,5.92,70.8,LabGrown,1.41,IGI,EXCELLENT,319.23,EXCELLENT,DIAP,CUSHION,1.27,EXCELLENT,D
Certified,VVS2,9.61,3.9,6.18,63.1,LabGrown,1.41,IGI,EXCELLENT,333.71,EXCELLENT,DIAP,PEAR,1.56,EXCELLENT,E
Certified,VS1,7.14,4.39,7.17,61.4,LabGrown,1.41,IGI,EXCELLENT,328.15,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VVS2,6.21,4.2,6.18,68.0,LabGrown,1.41,IGI,EXCELLENT,442.92,EXCELLENT,DIAP,PRINCESS,1.0,EXCELLENT,D
Certified,VVS1,6.14,4.31,6.06,71.1,LabGrown,1.41,IGI,EXCELLENT,601.42,EXCELLENT,DIAP,PRINCESS,1.01,EXCELLENT,D
Certified,VS1,7.76,3.97,5.78,68.7,LabGrown,1.41,IGI,VERY GOOD,371.34,EXCELLENT,DIAP,CUSHION,1.34,EXCELLENT,E
Certified,VVS1,7.14,4.11,6.25,65.8,LabGrown,1.41,IGI,EXCELLENT,537.65,EXCELLENT,DIAP,CUSHION,1.14,EXCELLENT,D
Certified,VS2,10.31,3.77,6.43,58.6,LabGrown,1.41,IGI,EXCELLENT,275.2,EXCELLENT,DIAP,PEAR,1.6,EXCELLENT,E
Certified,VS2,11.72,3.61,5.84,61.8,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,MARQUISE,2.01,EXCELLENT,D
Certified,VVS1,7.8,4.03,5.95,67.7,LabGrown,1.41,IGI,EXCELLENT,537.65,EXCELLENT,DIAP,CUSHION,1.31,EXCELLENT,D
Certified,VS1,7.95,3.96,5.9,67.1,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,CUSHION,1.35,EXCELLENT,D
Certified,VS1,8.06,3.7,5.47,67.6,LabGrown,1.41,IGI,EXCELLENT,275.2,EXCELLENT,DIAP,RADIANT,1.47,EXCELLENT,E
Certified,VS1,6.61,4.34,6.53,66.5,LabGrown,1.41,IGI,EXCELLENT,272.3,EXCELLENT,DIAP,CUSHION,1.01,EXCELLENT,F
Certified,VS2,11.4,3.68,5.93,62.1,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,MARQUISE,1.92,EXCELLENT,D
Certified,VS2,11.46,3.68,5.85,62.9,LabGrown,1.41,IGI,EXCELLENT,275.2,EXCELLENT,DIAP,MARQUISE,1.96,EXCELLENT,F
Certified,VVS1,10.12,3.85,6.38,60.4,LabGrown,1.41,GIA,EXCELLENT,681.28,EXCELLENT,DIAP,PEAR,1.59,EXCELLENT,D
Certified,VVS2,7.41,3.63,5.35,67.9,LabGrown,1.41,IGI,VERY GOOD,377.74,EXCELLENT,DIAP,EMERALD,1.39,EXCELLENT,D
Certified,VVS1,7.39,3.6,5.36,67.2,LabGrown,1.41,IGI,EXCELLENT,444.51,EXCELLENT,DIAP,EMERALD,1.38,EXCELLENT,D
Certified,VVS2,7.22,4.41,7.24,61.0,LabGrown,1.41,IGI,EXCELLENT,421.99,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.11,4.45,7.15,62.4,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,F
Certified,VS1,7.11,4.44,7.15,62.2,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,F
Certified,VVS2,7.93,3.43,5.35,64.1,LabGrown,1.41,IGI,EXCELLENT,324.44,EXCELLENT,DIAP,EMERALD,1.48,EXCELLENT,G
Certified,VS1,7.11,4.46,7.14,62.6,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,F
Certified,VS1,7.26,4.37,7.34,59.7,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,IDEAL,F
Certified,VS1,7.16,4.45,7.2,62.0,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,IDEAL,F
Certified,VVS2,7.11,4.47,7.18,62.5,LabGrown,1.41,IGI,EXCELLENT,330.23,EXCELLENT,DIAP,ROUND,0.99,IDEAL,G
Certified,VVS2,7.1,4.45,7.16,62.5,LabGrown,1.41,IGI,EXCELLENT,330.23,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,G
Certified,VS1,7.11,4.48,7.15,62.8,LabGrown,1.41,IGI,EXCELLENT,318.65,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,G
Certified,VVS2,7.12,4.47,7.17,62.5,LabGrown,1.41,IGI,EXCELLENT,353.41,EXCELLENT,DIAP,ROUND,0.99,IDEAL,F
Certified,VVS2,7.07,4.51,7.12,63.6,LabGrown,1.41,IGI,EXCELLENT,353.41,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,F
Certified,VVS1,7.63,3.56,5.29,67.3,LabGrown,1.41,IGI,EXCELLENT,558.5,EXCELLENT,DIAP,EMERALD,1.44,EXCELLENT,E
Certified,VVS1,7.21,4.33,7.25,59.8,LabGrown,1.41,IGI,EXCELLENT,553.12,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VVS1,7.26,4.32,7.28,59.4,LabGrown,1.41,IGI,EXCELLENT,589.76,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VVS1,7.14,4.46,7.18,62.3,LabGrown,1.41,IGI,EXCELLENT,589.76,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
